"","year","State","Politician","Politician_Party","Politician_Vote_Share","Opp","Opp_Party","Opp_Vote_Share","Unopposed","Wiki_Missing","Close_Election","Leg_Body"
"1","1934","Wyoming","Joseph C. O'Mahoney","100",56.88,"
Vincent Carter ","200",43.12,0,0,0,1
"2","1954","Wyoming","Joseph C. O'Mahoney","100",51.6,"
William H. Harrison ","200",48.4,0,0,0,1
"3","1962","Wyoming","Milward L. Simpson","200",57.8,"John J. Hickey ","100",42.2,0,0,0,1
"4","2008","Wyoming","John Barrasso","200",73.4,"
Nick Carter ","100",26.5,0,0,0,1
"5","1918","Wyoming","Francis E. Warren,","200",57.77,"
John Eugene Osborne, ","100",42.23,0,0,0,1
"6","1922","Wyoming","John B. Kendrick","100",57.3,"
F. W. Mondell ","200",42.7,0,0,0,1
"7","1924","Wyoming","Francis E. Warren","200",55.2,"
Robert R. Rose ","100",44.8,0,0,0,1
"8","1928","Wyoming","John B. Kendrick","100",53.5,"
Charles E. Winter ","200",46.1,0,0,0,1
"9","1934","Wyoming","Joseph C. O'Mahoney","100",56.6,"
Vincent Carter ","200",43,0,0,0,1
"10","1936","Wyoming","Harry H. Schwartz","100",53.8,"Robert D. Carey ","200",45.4,0,0,0,1
"11","1940","Wyoming","Joseph C. O'Mahoney","100",58.7,"
Milward Simpson ","200",41.3,0,0,0,1
"12","1942","Wyoming","Edward V. Robertson","200",54.6,"Henry H. Schwartz ","100",45.4,0,0,0,1
"13","1946","Wyoming","Joseph C. O'Mahoney","100",56.2,"Harry B. Henderson ","200",43.8,0,0,0,1
"14","1948","Wyoming","Lester C. Hunt","100",57.1,"Edward V. Robertson ","200",42.9,0,0,0,1
"15","1952","Wyoming","Frank A. Barrett","200",51.6,"
Joseph C. O'Mahoney ","100",48.4,0,0,0,1
"16","1954","Wyoming","Joseph C. O'Mahoney","100",51.5,"
William H. Harrison ","200",48.5,0,0,0,1
"17","1958","Wyoming","Gale McGee","100",50.8,"
Frank A. Barrett ","200",49.2,0,0,1,1
"18","1960","Wyoming","Edwin Keith Thomson","200",56.4,"
Raymond B. Whitaker ","100",43.6,0,0,0,1
"19","1964","Wyoming","Gale McGee","100",54,"John S. Wold ","200",46,0,0,0,1
"20","1966","Wyoming","Clifford Hansen","200",51.8,"
Teno Roncalio ","100",48.2,0,0,0,1
"21","1970","Wyoming","Gale W. McGee","100",55.8,"John S. Wold ","200",44.2,0,0,0,1
"22","1972","Wyoming","Clifford Hansen","200",71.3,"Mike Vinich ","100",28.7,0,0,0,1
"23","1976","Wyoming","Malcolm Wallop","200",54.7,"Gale W. McGee ","100",45.4,0,0,0,1
"24","1978","Wyoming","Alan K. Simpson","200",62.2,"Raymond B. Whitaker ","100",37.8,0,0,0,1
"25","1982","Wyoming","Malcolm Wallop","200",56.7,"
Rodger McDaniel ","100",43.3,0,0,0,1
"26","1984","Wyoming","Alan K. Simpson","200",78.3,"
Victor A. Ryan ","100",21.7,0,0,0,1
"27","1988","Wyoming","Malcolm Wallop","200",50.4,"
John Vinich ","100",49.6,0,0,1,1
"28","1990","Wyoming","Alan K. Simpson","200",66.4,"
Kathy Helling ","100",33.6,0,0,0,1
"29","1994","Wyoming","Craig Thomas","200",58.9,"
Mike Sullivan ","100",39.3,0,0,0,1
"30","1996","Wyoming","Mike Enzi","200",54.1,"
Kathy Karpan ","100",42.2,0,0,0,1
"31","2000","Wyoming","Craig L. Thomas","200",73.7,"
Mel Logan ","100",4.2,0,0,0,1
"32","2006","Wyoming","Craig L. Thomas","200",69.99,"
Dale Groutage ","100",29.86,0,0,0,1
"33","2008","Wyoming","Mike Enzi","200",75.6,"
Chris Rothfuss ","100",24.3,0,0,0,1
"34","2012","Wyoming","John Barrasso","200",75.7,"
Tim Chesnut ","100",21.7,0,0,0,1
"35","2014","Wyoming","Mike Enzi","200",71.2,"
Charlie Hardy ","100",17.4,0,0,0,1
"36","2018","Wyoming","John Barrasso","200",67.1,"
Gary Trauner ","100",30.1,0,0,0,1
"37","1957","Wisconsin","William Proxmire","100",56.4,"
Walter J. Kohler Jr. ","200",40.5,0,0,0,1
"38","1956","Wisconsin","William Proxmire","100",56.4,"
Walter J. Kohler Jr. ","200",40.5,0,0,0,1
"39","1920","Wisconsin","Irvine L. Lenroot,","200",41.6,"
James Thompson, ","Independent",34.7,0,0,0,1
"40","1922","Wisconsin","Robert M. La Follette Sr.","200",80.6,"
Jessie Jack Hooper ","Independent",16.6,0,0,0,1
"41","1926","Wisconsin","John J. Blaine","200",55,"Charles D. Rosa ","Independent",20.3,0,0,0,1
"42","1928","Wisconsin","Robert M. La Follette, Jr.","200",85.6,"
William H. Markham ","Independent",11,0,0,0,1
"43","1932","Wisconsin","F. Ryan Duffy","100",57,"
John B. Chapple ","200",36.2,0,0,0,1
"44","1934","Wisconsin","Robert M. La Follette Jr.","Progressive",47.8,"
John M. Callahan ","100",24.2,0,0,0,1
"45","1938","Wisconsin","Alexander Wiley","200",47.7,"Herman L. Ekern ","Progressive",26.6,0,0,0,1
"46","1940","Wisconsin","Robert M. La Follette Jr.","Progressive",45.3,"
Fred H. Clausen ","200",41.4,0,0,0,1
"47","1944","Wisconsin","Alexander Wiley","200",50.5,"Howard J. McMurray ","100",42.8,0,0,0,1
"48","1946","Wisconsin","Joseph R. McCarthy","200",61.3,"Howard J. McMurray ","100",37.4,0,0,0,1
"49","1950","Wisconsin","Alexander Wiley","200",53.3,"
Thomas E. Fairchild ","100",46.2,0,0,0,1
"50","1952","Wisconsin","Joseph R. McCarthy","200",54.2,"
Thomas E. Fairchild ","100",45.6,0,0,0,1
"51","1956","Wisconsin","Alexander Wiley","200",58.6,"
Henry W. Maier ","100",41.2,0,0,0,1
"52","1958","Wisconsin","William Proxmire","100",57.1,"
Roland J. Steinle ","200",42.7,0,0,0,1
"53","1962","Wisconsin","Gaylord Nelson","100",52.6,"Alexander Wiley ","200",47.2,0,0,0,1
"54","1964","Wisconsin","William Proxmire","100",53.3,"Wilbur N. Renk ","200",46.6,0,0,0,1
"55","1968","Wisconsin","Gaylord Nelson","100",61.7,"Jerris Leonard ","200",38.3,0,0,0,1
"56","1970","Wisconsin","William Proxmire","100",70.8,"John E. Erickson ","200",28.5,0,0,0,1
"57","1974","Wisconsin","Gaylord Nelson","100",61.8,"Tom Petri ","200",35.8,0,0,0,1
"58","1976","Wisconsin","William Proxmire","100",72.2,"Stanley York ","200",27,0,0,0,1
"59","1980","Wisconsin","Bob Kasten","200",50.2,"Gaylord Nelson ","100",48.3,0,0,1,1
"60","1982","Wisconsin","E. William Proxmire","100",63.6,"
Scott McCallum ","200",34.1,0,0,0,1
"61","1986","Wisconsin","Bob Kasten","200",51.8,"
Ed Garvey ","100",48.2,0,0,0,1
"62","1988","Wisconsin","Herb Kohl","100",52.2,"
Susan Engeleiter ","200",47.8,0,0,0,1
"63","1992","Wisconsin","Russ Feingold","100",52.6,"
Bob Kasten ","200",46,0,0,0,1
"64","1998","Wisconsin","Russ Feingold","100",50.6,"
Mark Neumann ","200",48.4,0,0,0,1
"65","2000","Wisconsin","Herb Kohl","100",61.5,"
John Gillespie ","200",0.8,0,0,0,1
"66","2004","Wisconsin","Russ Feingold","100",55.4,"
Tim Michels ","200",44.1,0,0,0,1
"67","2006","Wisconsin","Herb Kohl","100",67.31,"
Robert Lorge ","200",29.48,0,0,0,1
"68","2010","Wisconsin","Ron Johnson","200",51.9,"
Russ Feingold ","100",47,0,0,0,1
"69","2012","Wisconsin","Tammy Baldwin","100",51.4,"
Tommy Thompson ","200",45.9,0,0,0,1
"70","2016","Wisconsin","Ron Johnson","200",50.19,"
Russ Feingold ","100",46.84,0,0,0,1
"71","2018","Wisconsin","Tammy Baldwin","100",55.4,"
Leah Vukmir ","200",44.6,0,0,0,1
"72","1942","West Virginia","Hugh Shott","200",52.3,"Joseph Rosier ","100",47.7,0,0,0,1
"73","1956","West Virginia","Chapman Revercomb","200",53.7,"
William C. Marland ","100",46.3,0,0,0,1
"74","1958","West Virginia","Jennings Randolph","100",59.3,"
John D. Hoblitzell, Jr.  ","200",40.7,0,0,0,1
"75","2010","West Virginia","Joe Manchin","100",53.5,"
John Raese ","200",43.4,0,0,0,1
"76","1918","West Virginia","Davis Elkins,","200",53.53,"
Clarence Wayland Watson, ","100",45.4,0,0,0,1
"77","1922","West Virginia","Matthew M. Neely","100",51.2,"
Howard Sutherland ","200",47.6,0,0,0,1
"78","1924","West Virginia","Guy D. Goff","200",50.9,"
William E. Chilton ","100",47.7,0,0,0,1
"79","1928","West Virginia","Henry D. Hatfield","200",50.7,"
Matthew M. Neely ","100",49.2,0,0,1,1
"80","1934","West Virginia","Rush D. Holt","100",55.1,"
Henry D. Hatfield ","200",44.4,0,0,0,1
"81","1936","West Virginia","Matthew M. Neely","100",59.1,"Hugh I. Shott ","200",40.9,0,0,0,1
"82","1940","West Virginia","Harley M. Kilgore","100",56.3,"
Thomas Sweeney ","200",43.7,0,0,0,1
"83","1942","West Virginia","Chapman Revercomb","200",55.4,"Matthew M. Neely ","100",44.6,0,0,0,1
"84","1946","West Virginia","Harley M. Kilgore","100",50.3,"Thomas Sweeney ","200",49.7,0,0,1,1
"85","1948","West Virginia","Matthew M. Neely","100",57,"Chapman Revercomb ","200",43,0,0,0,1
"86","1952","West Virginia","Harley M. Kilgore","100",53.6,"
Chapman Revercomb ","200",46.4,0,0,0,1
"87","1954","West Virginia","Matthew M. Neely","100",54.8,"
Thomas Sweeney ","200",45.2,0,0,0,1
"88","1958","West Virginia","Robert C. Byrd","100",59.2,"
Chapman Revercomb ","200",40.8,0,0,0,1
"89","1960","West Virginia","Jennings Randolph","100",55.3,"
Cecil H. Underwood ","200",44.7,0,0,0,1
"90","1964","West Virginia","Robert C. Byrd","100",67.7,"Cooper P. Benedict ","200",32.3,0,0,0,1
"91","1966","West Virginia","Jennings Randolph","100",59.5,"
Francis J. Love ","200",40.5,0,0,0,1
"92","1970","West Virginia","Robert Byrd","100",77.6,"Elmer H. Dodson ","200",22.4,0,0,0,1
"93","1972","West Virginia","Jennings Randolph","100",66.5,"Louise Leonard ","200",33.6,0,0,0,1
"94","1976","West Virginia","Robert Byrd","100",99.9,"",NA,NA,0,0,NA,1
"95","1978","West Virginia","Jennings Randolph","100",50.5,"Arch A. Moore, Jr. ","200",49.5,0,0,1,1
"96","1982","West Virginia","Robert Byrd","100",68.5,"
Cleve Benedict ","200",30.8,0,0,0,1
"97","1984","West Virginia","Jay Rockefeller","100",51.8,"
John Raese ","200",47.7,0,0,0,1
"98","1988","West Virginia","Robert Byrd","100",63.2,"
M. Jay Wolfe ","200",36.8,0,0,0,1
"99","1990","West Virginia","Jay Rockefeller","100",68.5,"
John Yoder ","200",31.5,0,0,0,1
"100","1996","West Virginia","Jay Rockefeller","100",76.6,"
Betty Burks ","200",23.4,0,0,0,1
"101","2000","West Virginia","Robert Byrd","100",77.7,"
David T. Gallaher ","200",20.2,0,0,0,1
"102","2002","West Virginia","Jay Rockefeller","100",63.1,"
Jay Wolfe ","200",36.9,0,0,0,1
"103","2006","West Virginia","Robert Byrd","100",64.4,"
John Raese ","200",33.7,0,0,0,1
"104","2008","West Virginia","Jay Rockefeller","100",63.7,"
Jay Wolfe ","200",36.3,0,0,0,1
"105","2012","West Virginia","Joe Manchin","100",60.6,"
John Raese ","200",36.5,0,0,0,1
"106","2014","West Virginia","Shelley Moore Capito","200",62.1,"
Natalie Tennant ","100",34.5,0,0,0,1
"107","2018","West Virginia","Joe Manchin","100",49.6,"
Patrick Morrisey ","200",46.3,0,0,0,1
"108","1920","Washington","Wesley L. Jones,","200",56.4,"
C. L. France, ","Farmer–Labor",25.4,0,0,0,1
"109","1922","Washington","Clarence C. Dill","100",44.2,"
Miles Poindexter ","200",43,0,0,1,1
"110","1926","Washington","Wesley L. Jones,","200",51.3,"A. Scott Bullitt ","100",46.5,0,0,0,1
"111","1928","Washington","Clarence C. Dill","100",53.4,"
Kenneth Mackintosh ","200",46.5,0,0,0,1
"112","1932","Washington","Homer T. Bone","100",60.6,"
Wesley L. Jones ","200",32.7,0,0,0,1
"113","1934","Washington","Lewis B. Schwellenbach","100",60.9,"
Reno Odlin ","200",34,0,0,0,1
"114","1938","Washington","Homer T. Bone","100",62.6,"Ewing D. Colvin ","200",37.1,0,0,0,1
"115","1940","Washington","Monrad Wallgren","100",54.2,"
Stephen F. Chadwick ","200",45.8,0,0,0,1
"116","1944","Washington","Warren G. Magnuson","100",55.1,"Harry P. Cain ","200",44.4,0,0,0,1
"117","1946","Washington","Harry P. Cain","200",54.3,"Hugh B. Mitchell ","100",45.2,0,0,0,1
"118","1950","Washington","Warren G. Magnuson","100",53.4,"
Walter Williams ","200",46,0,0,0,1
"119","1952","Washington","Henry M. Jackson","100",56.2,"
Harry P. Cain ","200",43.5,0,0,0,1
"120","1956","Washington","Warren G. Magnuson","100",61.1,"
Arthur B. Langlie ","200",38.9,0,0,0,1
"121","1958","Washington","Henry M. Jackson","100",67.3,"
William B. Bantz ","200",31.4,0,0,0,1
"122","1962","Washington","Warren G. Magnuson","100",52.1,"Richard G. Christensen ","200",47.3,0,0,0,1
"123","1964","Washington","Henry M. Jackson","100",72.2,"Lloyd J. Andrews ","200",27.8,0,0,0,1
"124","1968","Washington","Warren G. Magnuson","100",64.4,"Jack Metcalf ","200",35.3,0,0,0,1
"125","1970","Washington","Henry M. Jackson","100",82.4,"Charles W. Elicker ","200",16,0,0,0,1
"126","1974","Washington","Warren G. Magnuson","100",60.7,"Jack Metcalf ","200",36.1,0,0,0,1
"127","1976","Washington","Henry M. Jackson","100",71.8,"George M. Brown ","200",24.2,0,0,0,1
"128","1980","Washington","Slade Gorton","200",54.2,"Warren G. Magnuson ","100",45.8,0,0,0,1
"129","1982","Washington","Henry M. Jackson","100",68.9,"
Doug Jewett ","200",24.3,0,0,0,1
"130","1986","Washington","Brock Adams","100",50.6,"
Slade Gorton ","200",48.7,0,0,1,1
"131","1988","Washington","Slade Gorton","200",50.7,"
Mike Lowry ","100",49.3,0,0,1,1
"132","1992","Washington","Patty Murray","100",54,"
Rod Chandler ","200",46,0,0,0,1
"133","1994","Washington","Slade Gorton","200",55.75,"
Ron Sims ","100",44.25,0,0,0,1
"134","1998","Washington","Patty Murray","100",58.4,"
Linda Smith ","200",41.6,0,0,0,1
"135","2000","Washington","Maria Cantwell","100",48.7,"
Slade Gorton ","200",48.6,0,0,1,1
"136","2006","Washington","Maria Cantwell","100",56.85,"
Mike McGavick ","200",39.93,0,0,0,1
"137","2010","Washington","Patty Murray","100",52.4,"
Dino Rossi ","200",47.6,0,0,0,1
"138","2012","Washington","Maria Cantwell","100",60.5,"
Michael Baumgartner ","200",39.5,0,0,0,1
"139","2016","Washington","Patty Murray","100",59.04,"
Chris Vance ","200",40.96,0,0,0,1
"140","2018","Washington","Maria Cantwell","100",58.4,"
Susan Hutchison ","200",41.6,0,0,0,1
"141","1920","Virginia","Carter Glass,","100",91.3,"
J. R. Pollard, ","200",8.7,0,0,0,1
"142","1932","Virginia","Harry F. Byrd","100",71.31,"
Henry A. Wise ","200",26.67,0,0,0,1
"143","1946","Virginia","A. Willis Robertson","100",68.2,"Robert H. Woods ","200",29,0,0,0,1
"144","1966","Virginia","Harry F. Byrd Jr.","100",53.3,"
Lawrence M. Traylor ","200",37.4,0,0,0,1
"145","1918","Virginia","Thomas S. Martin","100",NA,NA,NA,NA,1,0,NA,1
"146","1922","Virginia","Claude A. Swanson","100",71.9,"
J. W. McGavock ","200",26.5,0,0,0,1
"147","1924","Virginia","Carter Glass","100",73.1,"
W. N. Noak ","200",24.2,0,0,0,1
"148","1928","Virginia","Claude A. Swanson","100",99.8,"
Unopposed",NA,NA,0,0,NA,1
"149","1934","Virginia","Harry F. Byrd","100",76,"
Lawrence C. Page ","200",20.9,0,0,0,1
"150","1936","Virginia","Carter Glass","100",91.7,"",NA,NA,0,0,NA,1
"151","1940","Virginia","Harry F. Byrd","100",93.3,NA,NA,NA,0,0,NA,1
"152","1942","Virginia","Carter Glass","100",91.1,"Lawrence S. Wilkes ","Socialist",6.5,0,0,0,1
"153","1946","Virginia","Harry F. Byrd","100",64.9,"Lester S. Parsons ","200",30.5,0,0,0,1
"154","1948","Virginia","A. Willis Robertson","100",65.6,"Robert H. Woods ","200",30.8,0,0,0,1
"155","1952","Virginia","Harry F. Byrd","100",73.4,"
H. M. Vise, Sr. ","Independent",12.7,0,0,0,1
"156","1954","Virginia","A. Willis Robertson","100",79.9,"
Charles W. Lewis Jr. ","Independent-100",10.7,0,0,0,1
"157","1958","Virginia","Harry F. Byrd","100",69.3,"
Louise Wensel ","Independent",26.3,0,0,0,1
"158","1960","Virginia","A. Willis Robertson","100",81.3,"
Stuart D. Baker ","Independent",14.2,0,0,0,1
"159","1964","Virginia","Harry F. Byrd","100",63.8,"Richard A. May ","200",19,0,0,0,1
"160","1966","Virginia","William B. Spong Jr.","100",58.6,"
James P. Ould Jr. ","200",33.5,0,0,0,1
"161","1970","Virginia","Harry F. Byrd Jr.","Independent",53.5,"George Rawlings ","100",31.2,0,0,0,1
"162","1972","Virginia","William L. Scott","200",51.5,"William B. Spong Jr. ","100",46.1,0,0,0,1
"163","1976","Virginia","Harry F. Byrd Jr.","Independent",57.2,"Elmo R. Zumwalt Jr. ","100",38.3,0,0,0,1
"164","1978","Virginia","John Warner","200",50.2,"Andrew P. Miller ","100",49.8,0,0,1,1
"165","1982","Virginia","Paul Trible","200",51.2,"
Dick Davis ","100",48.8,0,0,0,1
"166","1984","Virginia","John Warner","200",70,"
Edythe C. Harrison ","100",29.9,0,0,0,1
"167","1988","Virginia","Chuck Robb","100",71.2,"
Maurice A. Dawkins ","200",28.8,0,0,0,1
"168","1990","Virginia","John Warner","200",80.9,"
Nancy B. Spannaus ","Independent",18.2,0,0,0,1
"169","1994","Virginia","Chuck Robb","100",45.6,"
Oliver North ","200",42.9,0,0,0,1
"170","1996","Virginia","John Warner","200",52.5,"
Mark Warner ","100",47.4,0,0,0,1
"171","2000","Virginia","George Allen","200",52.3,"
Chuck Robb ","100",47.7,0,0,0,1
"172","2002","Virginia","John Warner","200",82.6,"
Nancy Spannaus ","Independent",9.7,0,0,0,1
"173","2006","Virginia","Jim Webb","100",49.6,"
George Allen ","200",49.2,0,0,1,1
"174","2008","Virginia","Mark Warner","100",65,"
Jim Gilmore ","200",33.7,0,0,0,1
"175","2012","Virginia","Tim Kaine","100",52.9,"
George Allen ","200",47,0,0,0,1
"176","2014","Virginia","Mark Warner","100",49.1,"
Ed Gillespie ","200",48.3,0,0,1,1
"177","2018","Virginia","Tim Kaine","100",57.1,"
Corey Stewart ","200",41.1,0,0,0,1
"178","1923","Vermont","Porter H. Dale","200",65.7,"
Park H. Pollard ","100",33.7,0,0,0,1
"179","1934","Vermont","Ernest W. Gibson,","200",58.2,"
Harry W. Witters, ","100",41.8,0,0,0,1
"180","1940","Vermont","George D. Aiken","200",61.6,"
Herbert B. Comings ","100",38.4,0,0,0,1
"181","1972","Vermont","Robert Stafford","200",64.4,"Randolph T. Major ","100",33.4,0,0,0,1
"182","1920","Vermont","William P. Dillingham,","200",78,"
Howard E. Shaw, ","100",21.9,0,0,0,1
"183","1922","Vermont","Frank L. Greene","200",67.9,"
William B. Mayo ","100",32.1,0,0,0,1
"184","1926","Vermont","Porter H. Dale,","200",73.4,"James E. Kennedy ","100",26.5,0,0,0,1
"185","1928","Vermont","Frank L. Greene","200",71.6,"
Fred C. Martin ","100",28.5,0,0,0,1
"186","1932","Vermont","Porter H. Dale","200",55.1,"
Fred C. Martin ","100",44.9,0,0,0,1
"187","1934","Vermont","Warren R. Austin","200",51,"
Fred C. Martin ","100",48.4,0,0,0,1
"188","1938","Vermont","Ernest W. Gibson","200",65.7,"John McGrath ","100",34.3,0,0,0,1
"189","1940","Vermont","Warren R. Austin","200",66.5,"
Ona S. Searles ","100",33.6,0,0,0,1
"190","1944","Vermont","George D. Aiken","200",65.8,"Harry W. Witters ","100",34.2,0,0,0,1
"191","1946","Vermont","Ralph E. Flanders","200",74.6,"Charles P. McDevitt ","100",25.4,0,0,0,1
"192","1950","Vermont","George D. Aiken","200",78,"
James E. Bigelow ","100",22,0,0,0,1
"193","1952","Vermont","Ralph E. Flanders","200",72.3,"
Allan R. Johnston ","100",27.7,0,0,0,1
"194","1956","Vermont","George D. Aiken","200",66.4,"
Bernard G. O'Shea ","100",33.6,0,0,0,1
"195","1958","Vermont","Winston L. Prouty","200",52.2,"
Frederick J. Fayette ","100",47.8,0,0,0,1
"196","1962","Vermont","George D. Aiken","200",66.9,"W. Robert Johnson ","100",33.1,0,0,0,1
"197","1964","Vermont","Winston L. Prouty","200",53.5,"Frederick J. Fayette ","100",46.5,0,0,0,1
"198","1968","Vermont","George Aiken","200",NA,NA,NA,NA,1,0,NA,1
"199","1970","Vermont","Winston L. Prouty","200",58.9,"Philip H. Hoff ","100",40.2,0,0,0,1
"200","1974","Vermont","Patrick Leahy","100",49.5,"Richard W. Mallary ","200",46.4,0,0,0,1
"201","1976","Vermont","Robert Stafford","200",50,"Thomas P. Salmon ","100",45.3,0,0,0,1
"202","1980","Vermont","Patrick Leahy","100",49.8,"Stewart M. Ledbetter ","200",48.5,0,0,1,1
"203","1982","Vermont","Robert Stafford","200",50.3,"
James A. Guest ","100",47.2,0,0,0,1
"204","1986","Vermont","Patrick Leahy","100",63.7,"
Richard A. Snelling ","200",34.7,0,0,0,1
"205","1988","Vermont","Jim Jeffords","200",67.9,"
William Gray ","100",29.8,0,0,0,1
"206","1992","Vermont","Patrick Leahy","100",54.2,"
Jim Douglas ","200",43.3,0,0,0,1
"207","1994","Vermont","Jim Jeffords","200",50.3,"
Jan Backus ","100",40.6,0,0,0,1
"208","1998","Vermont","Patrick Leahy","100",72.2,"
Fred Tuttle ","200",22.5,0,0,0,1
"209","2000","Vermont","Jim Jeffords","200",65.6,"
Ed Flanagan ","100",25.4,0,0,0,1
"210","2004","Vermont","Patrick Leahy","100",70.6,"
Jack McMullen ","200",24.5,0,0,0,1
"211","2006","Vermont","Bernie Sanders","Independent",65.4,"
Richard Tarrant ","200",32.3,0,0,0,1
"212","2010","Vermont","Patrick Leahy","100",64.4,"
Len Britton ","200",30.9,0,0,0,1
"213","2016","Vermont","Patrick Leahy","100",61.3,"
Scott Milne ","200",33,0,0,0,1
"214","2018","Vermont","Bernie Sanders","Independent",67.4,"
Lawrence Zupan ","200",27.5,0,0,0,1
"215","1920","Utah","Reed Smoot,","200",56.6,"
Milton H. Welling, ","100",38.5,0,0,0,1
"216","1922","Utah","William H. King","100",48.6,"
Ernest Bamberger ","200",48.2,0,0,1,1
"217","1926","Utah","Reed Smoot,","200",61.5,"Ashby Snow ","100",37.6,0,0,0,1
"218","1928","Utah","William H. King","100",55.5,"
Ernest Bamberger ","200",43.9,0,0,0,1
"219","1932","Utah","Elbert D. Thomas","100",56.7,"
Reed Smoot ","200",41.7,0,0,0,1
"220","1934","Utah","William H. King","100",53.1,"
Don B. Colton ","200",45.4,0,0,0,1
"221","1938","Utah","Elbert D. Thomas","100",55.8,"Franklin S. Harris ","200",44.2,0,0,0,1
"222","1940","Utah","Abe Murdock","100",62.9,"
Philo Farnsworth ","200",37.2,0,0,0,1
"223","1944","Utah","Elbert D. Thomas","100",59.9,"Adam S. Bennion ","200",40.1,0,0,0,1
"224","1946","Utah","Arthur V. Watkins","200",51.2,"Abe Murdock ","100",48.8,0,0,0,1
"225","1950","Utah","Wallace F. Bennett","200",53.9,"
Elbert D. Thomas ","100",45.8,0,0,0,1
"226","1952","Utah","Arthur V. Watkins","200",54.3,"
Walter K. Granger ","100",45.7,0,0,0,1
"227","1956","Utah","Wallace F. Bennett","200",54,"
Alonzo F. Hopkin ","100",46,0,0,0,1
"228","1958","Utah","Frank E. Moss","100",38.7,"
Arthur V. Watkins ","200",34.8,0,0,0,1
"229","1962","Utah","Wallace F. Bennett","200",52.4,"David S. King ","100",47.6,0,0,0,1
"230","1964","Utah","Frank E. Moss","100",57.3,"Ernest L. Wilkinson ","200",42.7,0,0,0,1
"231","1968","Utah","Wallace F. Bennett","200",53.7,"Milton N. Wellenmann ","100",45.8,0,0,0,1
"232","1970","Utah","Frank Moss","100",56.2,"Laurence J. Burton ","200",42.5,0,0,0,1
"233","1974","Utah","Jake Garn","200",50,"Wayne Owens ","100",44.1,0,0,0,1
"234","1976","Utah","Orrin Hatch","200",53.7,"Frank Moss ","100",44.8,0,0,0,1
"235","1980","Utah","Jake Garn","200",73.6,"Dan Berman ","100",25.5,0,0,0,1
"236","1982","Utah","Orrin G. Hatch","200",58.3,"
Ted Wilson ","100",41.3,0,0,0,1
"237","1986","Utah","Jake Garn","200",72.3,"
Craig Oliver ","100",26.6,0,0,0,1
"238","1988","Utah","Orrin Hatch","200",67.1,"
Brian Moss ","100",31.7,0,0,0,1
"239","1992","Utah","Robert Foster Bennett","200",55.4,"
Wayne Owens ","100",39.7,0,0,0,1
"240","1994","Utah","Orrin Hatch","200",68.8,"
Patrick Shea ","100",28.3,0,0,0,1
"241","2000","Utah","Orrin Hatch","200",65.6,"
Scott Howell ","100",31.5,0,0,0,1
"242","2004","Utah","Robert Foster Bennett","200",68.7,"
Paul Van Dam ","100",28.4,0,0,0,1
"243","2006","Utah","Orrin Hatch","200",62.6,"
Pete Ashdown ","100",30.8,0,0,0,1
"244","2010","Utah","Mike Lee","200",61.6,"
Sam Granato ","100",32.8,0,0,0,1
"245","2012","Utah","Orrin Hatch","200",65.3,"
Scott Howell ","100",30,0,0,0,1
"246","2016","Utah","Mike Lee","200",68.1,"
Misty K. Snow ","100",27.1,0,0,0,1
"247","2018","Utah","Mitt Romney","200",62.6,"
Jenny Wilson ","100",30.9,0,0,0,1
"248","1957","Texas","Ralph Yarborough","100",38.1,"
Martin Dies Jr. ","100",30.4,0,0,0,1
"249","1960","Texas","John Tower","200",50.58,"
William A. Blakley ","100",49.42,0,0,1,1
"250","1918","Texas","Morris Sheppard,","100",86.69,"
J. Webster Flanagan, ","200",12.41,0,0,0,1
"251","1922","Texas","Earle B. Mayfield","100",66.6,"
George E. B. Peddy ","200",NA,0,0,NA,1
"252","1924","Texas","Morris Sheppard","100",85.4,"
T. M. Kennerly ","200",14.6,0,0,0,1
"253","1928","Texas","Tom Connally","100",81.2,"
T. M. Kennerly ","200",18.7,0,0,0,1
"254","1934","Texas","Tom Connally","100",96.7,"",NA,NA,0,0,NA,1
"255","1936","Texas","Morris Sheppard","100",92.6,"Carlos G. Watson ","200",7.1,0,0,0,1
"256","1940","Texas","Tom Connally","100",94.3,"
George I. Shannon ","200",5.7,0,0,0,1
"257","1942","Texas","W. Lee O'Daniel","100",94.9,"",NA,NA,0,0,NA,1
"258","1946","Texas","Tom Connally","100",88.5,"Murray C. Sells ","200",11.5,0,0,0,1
"259","1948","Texas","Lyndon B. Johnson","100",66.2,"Jack Porter ","200",32.9,0,0,0,1
"260","1952","Texas","Price Daniel","100",NA,NA,NA,NA,1,0,NA,1
"261","1954","Texas","Lyndon B. Johnson","100",84.6,"
Carlos G. Watson ","200",14.9,0,0,0,1
"262","1958","Texas","Ralph Yarborough","100",74.6,"
Roy Whittenburg ","200",23.6,0,0,0,1
"263","1960","Texas","Lyndon B. Johnson","100",58,"
John G. Tower ","200",41.1,0,0,0,1
"264","1964","Texas","Ralph Yarborough","100",56.2,"George H. W. Bush ","200",43.6,0,0,0,1
"265","1966","Texas","John Tower","200",56.4,"
Waggoner Carr ","100",43.1,0,0,0,1
"266","1970","Texas","Lloyd Bentsen","100",53.5,"George H. W. Bush ","200",46.4,0,0,0,1
"267","1972","Texas","John Tower","200",53.4,"Barefoot Sanders ","100",44.3,0,0,0,1
