"","year","State","District","Politician","Politician_Party","Politician_Vote_Share","Opp","Opp_Party","Opp_Vote_Share","Unopposed","Wiki_Missing","Close_Election","Leg_Body"
"8785",1956,"Missouri","3","Leonor Sullivan","100",69.6,"Sidney R. Redmond ","200",30.4,0,0,0,2
"8786",1956,"Missouri","4","George H. Christopher","100",51.8,"Jeffrey P. Hillelson ","200",48.2,0,0,0,2
"8787",1956,"Missouri","5","Richard Bolling","100",57.2,"Lem T. Jones, Jr. ","200",42.8,0,0,0,2
"8788",1956,"Missouri","6","William Raleigh Hull, Jr.","100",52,"Stanley I. Dale ","200",48,0,0,0,2
"8789",1956,"Missouri","7","Charles Harrison Brown","100",50.3,"Dewey Short ","200",49.7,0,0,1,2
"8790",1956,"Missouri","8","A. S. J. Carnahan","100",54.3,"Frank W. May ","200",45.7,0,0,0,2
"8791",1956,"Missouri","9","Clarence Cannon","100",NA,NA,NA,NA,1,0,NA,2
"8792",1956,"Missouri","10","Paul C. Jones","100",NA,NA,NA,NA,1,0,NA,2
"8793",1956,"Missouri","11","Morgan M. Moulder","100",50.8,"George H. Miller ","200",49.2,0,0,1,2
"8794",1958,"Missouri","1","Frank M. Karsten","100",75.8,"Paul E. Corning, Jr. ","200",24.2,0,0,0,2
"8795",1958,"Missouri","2","Thomas B. Curtis","200",51.9,"James L. Sullivan ","100",48.1,0,0,0,2
"8796",1958,"Missouri","3","Leonor Sullivan","100",79.2,"Josiah C. Thomas ","200",20.8,0,0,0,2
"8797",1958,"Missouri","4","George H. Christopher","100",64,"James A. Rahm ","200",36,0,0,0,2
"8798",1958,"Missouri","5","Richard Bolling","100",70,"Richard W. Byrne ","200",30,0,0,0,2
"8799",1958,"Missouri","6","William Raleigh Hull, Jr.","100",64.9,"Clyde M. Kirk ","200",35.1,0,0,0,2
"8800",1958,"Missouri","7","Charles Harrison Brown","100",53.7,"Noel Cox ","200",46.3,0,0,0,2
"8801",1958,"Missouri","8","A. S. J. Carnahan","100",64.3,"Francis Howard ","200",35.7,0,0,0,2
"8802",1958,"Missouri","9","Clarence Cannon","100",64.8,"Anthony C. Schroeder ","200",35.2,0,0,0,2
"8803",1958,"Missouri","10","Paul C. Jones","100",70.7,"Gilbert Degenhardt ","200",29.3,0,0,0,2
"8804",1958,"Missouri","11","Morgan M. Moulder","100",56.9,"Don W. Owensby ","200",43.1,0,0,0,2
"8805",1960,"Missouri","1","Frank M. Karsten","100",70.8,"Sam J. Kallaos ","200",29.2,0,0,0,2
"8806",1960,"Missouri","2","Thomas B. Curtis","200",56.7,"Richard L. Carp ","100",43.3,0,0,0,2
"8807",1960,"Missouri","3","Leonor Sullivan","100",73.3,"Morton L. Schwartz ","200",26.7,0,0,0,2
"8808",1960,"Missouri","4","William J. Randall","100",54,"Kenneth K. Lowe ","200",46,0,0,0,2
"8809",1960,"Missouri","5","Richard Bolling","100",61,"Clinton H. Gates ","200",39,0,0,0,2
"8810",1960,"Missouri","6","William Raleigh Hull, Jr.","100",54.6,"Ethan H. Campbell ","200",45.4,0,0,0,2
"8811",1960,"Missouri","7","Durward Gorham Hall","200",54.9,"Charles Harrison Brown ","100",45.1,0,0,0,2
"8812",1960,"Missouri","8","Richard Howard Ichord, Jr.","100",58,"Curtis J. Tindel ","200",42,0,0,0,2
"8813",1960,"Missouri","9","Clarence Cannon","100",59.8,"Anthony C. Schroeder ","200",40.2,0,0,0,2
"8814",1960,"Missouri","10","Paul C. Jones","100",NA,NA,NA,NA,1,0,NA,2
"8815",1960,"Missouri","11","Morgan M. Moulder","100",50.1,"Robert A. Bartel ","200",49.9,0,0,1,2
"8816",1962,"Missouri","1","Frank M. Karsten","100",70.7,"Charles F. Cherry ","200",29.3,0,0,0,2
"8817",1962,"Missouri","2","Thomas B. Curtis","200",56.3,"Philip V. Maher ","100",43.7,0,0,0,2
"8818",1962,"Missouri","3","Leonor Sullivan","100",70.5,"J. Marvin Krause ","200",29.5,0,0,0,2
"8819",1962,"Missouri","4","William J. Randall","100",53.9,"John D. Fox ","200",46.1,0,0,0,2
"8820",1962,"Missouri","5","Richard Bolling","100",58.9,"Walter McCarty ","200",41.1,0,0,0,2
"8821",1962,"Missouri","6","William Raleigh Hull, Jr.","100",55.3,"Ethan H. Campbell ","200",44.7,0,0,0,2
"8822",1962,"Missouri","7","Durward Gorham Hall","200",57.7,"Jim Thomas ","100",42.3,0,0,0,2
"8823",1962,"Missouri","8","Richard Howard Ichord, Jr.","100",59,"David W. Bernhardt ","200",41,0,0,0,2
"8824",1962,"Missouri","9","Clarence Cannon","100",60.5,"Anthony C. Schroeder ","200",39.5,0,0,0,2
"8825",1962,"Missouri","10","Paul C. Jones","100",60.6,"Truman Farrow ","200",39.4,0,0,0,2
"8826",1966,"Missouri","1","Frank M. Karsten","100",63.9,"
Robert L. Sharp ","200",36.1,0,0,0,2
"8827",1966,"Missouri","2","Thomas B. Curtis","200",66.2,"
William B. Milius ","100",33.8,0,0,0,2
"8828",1966,"Missouri","3","Leonor Sullivan","100",71.1,"
Homer McCracken ","200",28.9,0,0,0,2
"8829",1966,"Missouri","4","William J. Randall","100",60.9,"
Forest Nave Jr. ","200",39.1,0,0,0,2
"8830",1966,"Missouri","5","Richard Bolling","100",61.2,"
Willis E. Salyers ","200",38.8,0,0,0,2
"8831",1966,"Missouri","6","William Raleigh Hull Jr.","100",58,"
John L. Leims ","200",42,0,0,0,2
"8832",1966,"Missouri","7","Durward Gorham Hall","200",62.3,"
Arch M. Skelton ","100",37.7,0,0,0,2
"8833",1966,"Missouri","8","Richard Howard Ichord Jr.","100",58.1,"
Ben A. Rogers ","200",41.9,0,0,0,2
"8834",1966,"Missouri","9","William L. Hungate","100",55.3,"
Anthony C. Schroeder ","200",44.7,0,0,0,2
"8835",1966,"Missouri","10","Paul C. Jones","100",61,"
William Bruckerhoff ","200",39,0,0,0,2
"8836",1968,"Missouri","1","Bill Clay","100",64.1,"Curtis C. Crawford ","200",35.9,0,0,0,2
"8837",1968,"Missouri","2","James W. Symington","100",53.2,"Hugh Scott ","200",46.8,0,0,0,2
"8838",1968,"Missouri","3","Leonor Sullivan","100",73.4,"Homer McCracken ","200",26.6,0,0,0,2
"8839",1968,"Missouri","4","William J. Randall","100",57.9,"Leslie O. Olson ","200",42.1,0,0,0,2
"8840",1968,"Missouri","5","Richard Bolling","100",65.4,"Harold Masters ","200",34.6,0,0,0,2
"8841",1968,"Missouri","6","William Raleigh Hull, Jr.","100",54.6,"James E. Austin ","200",45.4,0,0,0,2
"8842",1968,"Missouri","7","Durward Gorham Hall","200",63.8,"Ed Bonitt ","100",36.2,0,0,0,2
"8843",1968,"Missouri","8","Richard Howard Ichord, Jr.","100",57.5,"Eugene E. Northern ","200",42,0,0,0,2
"8844",1968,"Missouri","9","William L. Hungate","100",52.2,"Kit Bond ","200",47.8,0,0,0,2
"8845",1968,"Missouri","10","Bill Burlison","100",54,"Vernon H. Landgraf ","200",46,0,0,0,2
"8846",1970,"Missouri","1","Bill Clay","100",90.5,"
Gerald G. Fischer ","American Independent",9.5,0,0,0,2
"8847",1970,"Missouri","2","James W. Symington","100",57.6,"
Philip R. Hoffman ","200",41.1,0,0,0,2
"8848",1970,"Missouri","3","Leonor Sullivan","100",74.8,"
Dale F. Troske ","200",25.2,0,0,0,2
"8849",1970,"Missouri","4","William J. Randall","100",60.1,"
Leslie O. Olson ","200",39.9,0,0,0,2
"8850",1970,"Missouri","5","Richard Bolling","100",61.3,"
Randall Vanet ","200",37.8,0,0,0,2
"8851",1970,"Missouri","6","William Raleigh Hull Jr.","100",53.6,"
Hugh A. Sprague ","200",45.9,0,0,0,2
"8852",1970,"Missouri","7","Durward Gorham Hall","200",NA,NA,NA,NA,1,0,NA,2
"8853",1970,"Missouri","8","Richard Howard Ichord Jr.","100",64.3,"
John L. Caskanett ","200",35.1,0,0,0,2
"8854",1970,"Missouri","9","William L. Hungate","100",63,"
Anthony C. Schroeder ","200",36.2,0,0,0,2
"8855",1970,"Missouri","10","Bill Burlison","100",56,"
Gary Rust ","200",44,0,0,0,2
"8856",1972,"Missouri","1","Bill Clay","100",64,"Richard O. Funsch ","200",36,0,0,0,2
"8857",1972,"Missouri","2","James W. Symington","100",63.5,"John W. 'Jack' Cooper Jr. ","200",36.5,0,0,0,2
"8858",1972,"Missouri","3","Leonor Sullivan","100",69.3,"Albert Holst ","200",30.4,0,0,0,2
"8859",1972,"Missouri","4","William J. Randall","100",57.4,"Raymond E. Barrows ","200",42.6,0,0,0,2
"8860",1972,"Missouri","5","Richard Bolling","100",62.8,"Vernon E. Rice ","200",35.6,0,0,0,2
"8861",1972,"Missouri","6","Jerry Litton","100",54.6,"Russell Sloan ","200",45.4,0,0,0,2
"8862",1972,"Missouri","7","Gene Taylor","200",63.7,"Bill Thomas ","100",36.3,0,0,0,2
"8863",1972,"Missouri","8","Richard Howard Ichord Jr.","100",62.1,"David R. Countie ","200",37.9,0,0,0,2
"8864",1972,"Missouri","9","William L. Hungate","100",66.5,"Robert L. Prange ","200",33.5,0,0,0,2
"8865",1972,"Missouri","10","Bill Burlison","100",64.3,"Marion Francis Svendrowski ","200",35.7,0,0,0,2
"8866",1974,"Missouri","1","Bill Clay","100",68.3,"Arthur O. Martin ","200",31.7,0,0,0,2
"8867",1974,"Missouri","2","James W. Symington","100",61,"Howard C. Ohlendorf ","200",39,0,0,0,2
"8868",1974,"Missouri","3","Leonor Sullivan","100",74.3,"Jo Ann P. Raisch ","200",24.3,0,0,0,2
"8869",1974,"Missouri","4","William J. Randall","100",67.9,"Claude Patterson ","200",32.1,0,0,0,2
"8870",1974,"Missouri","5","Richard Bolling","100",69.1,"John McDonough ","200",29.9,0,0,0,2
"8871",1974,"Missouri","6","Jerry Litton","100",78.9,"Grover H. Speers ","200",21.1,0,0,0,2
"8872",1974,"Missouri","7","Gene Taylor","200",52.3,"Richard L. Franks ","100",47.7,0,0,0,2
"8873",1974,"Missouri","8","Richard Howard Ichord Jr.","100",69.9,"James A. Noland Jr. ","200",30.1,0,0,0,2
"8874",1974,"Missouri","9","William L. Hungate","100",66.4,"Milton Bischof Jr. ","200",33.6,0,0,0,2
"8875",1974,"Missouri","10","Bill Burlison","100",72.8,"Truman Farrow ","200",27.2,0,0,0,2
"8876",1976,"Missouri","1","Bill Clay","100",65.6,"Robert L. Witherspoon ","200",34.4,0,0,0,2
"8877",1976,"Missouri","2","Robert A. Young","100",51.1,"Robert O. Snyder ","200",48.9,0,0,0,2
"8878",1976,"Missouri","3","Dick Gephardt","100",63.7,"Joseph L. Badaracco ","200",36.3,0,0,0,2
"8879",1976,"Missouri","4","Ike Skelton","100",55.9,"Richard A. King ","200",44.1,0,0,0,2
"8880",1976,"Missouri","5","Richard Bolling","100",68,"Joanne M. Collins ","200",28.1,0,0,0,2
"8881",1976,"Missouri","6","Earl Thomas Coleman","200",58.5,"Morgan Maxfield ","100",40.5,0,0,0,2
"8882",1976,"Missouri","7","Gene Taylor","200",62,"Dolan G. Hawkins ","100",38,0,0,0,2
"8883",1976,"Missouri","8","Richard Howard Ichord Jr.","100",67.3,"Charles R. Leick ","200",30.6,0,0,0,2
"8884",1976,"Missouri","9","Harold Volkmer","100",55.9,"Joe Frappier ","200",44.1,0,0,0,2
"8885",1976,"Missouri","10","Bill Burlison","100",72.1,"Joe Carron ","200",27.9,0,0,0,2
"8886",1978,"Missouri","1","Bill Clay","100",66.6,"Bill White ","200",31.3,0,0,0,2
"8887",1978,"Missouri","2","Robert A. Young","100",56.4,"Bob Chase ","200",43.6,0,0,0,2
"8888",1978,"Missouri","3","Dick Gephardt","100",81.9,"Lee Buchschacher ","200",18.1,0,0,0,2
"8889",1978,"Missouri","4","Ike Skelton","100",72.8,"Bill Baker ","200",27.2,0,0,0,2
"8890",1978,"Missouri","5","Richard Bolling","100",72,"Steven L. Walter ","200",26.6,0,0,0,2
"8891",1978,"Missouri","6","Earl Thomas Coleman","200",55.9,"Phil Snowden ","100",44.1,0,0,0,2
"8892",1978,"Missouri","7","Gene Taylor","200",61.2,"Jim Thomas ","100",38.8,0,0,0,2
"8893",1978,"Missouri","8","Richard Howard Ichord Jr.","100",60.5,"Donald D. Meyer ","200",39.5,0,0,0,2
"8894",1978,"Missouri","9","Harold Volkmer","100",74.7,"Jerry Dent ","200",25.3,0,0,0,2
"8895",1978,"Missouri","10","Bill Burlison","100",65.3,"James A. Weir ","200",34.7,0,0,0,2
"8896",1980,"Missouri","1","Bill Clay","100",70.2,"Bill White ","200",29.8,0,0,0,2
"8897",1980,"Missouri","2","Robert A. Young","100",64.4,"John O. Shields ","200",35.6,0,0,0,2
"8898",1980,"Missouri","3","Dick Gephardt","100",77.6,"Robert A. Cedarburg ","200",22.4,0,0,0,2
"8899",1980,"Missouri","4","Ike Skelton","100",67.8,"Bill Baker ","200",32.2,0,0,0,2
"8900",1980,"Missouri","5","Richard Bolling","100",70.1,"Vincent E. Baker ","200",29.9,0,0,0,2
"8901",1980,"Missouri","6","Earl Thomas Coleman","200",70.6,"Vernon King ","100",29.4,0,0,0,2
"8902",1980,"Missouri","7","Gene Taylor","200",67.8,"Ken Young ","100",32.2,0,0,0,2
"8903",1980,"Missouri","8","Wendell Bailey","200",57.1,"Steve Gardner ","100",42.9,0,0,0,2
"8904",1980,"Missouri","9","Harold Volkmer","100",56.5,"John W. Turner ","200",43.5,0,0,0,2
"8905",1980,"Missouri","10","Bill Emerson","200",55.2,"Bill Burlison ","100",44.8,0,0,0,2
"8906",1982,"Missouri","1","Bill Clay","100",66.1,"
Bill White ","200",33.9,0,0,0,2
"8907",1982,"Missouri","2","Robert A. Young","100",56.5,"
Harold L. Dielmann ","200",43.5,0,0,0,2
"8908",1982,"Missouri","3","Dick Gephardt","100",77.9,"
Richard Foristel ","200",22.1,0,0,0,2
"8909",1982,"Missouri","4","Ike Skelton","100",54.8,"
Wendell Bailey ","200",45.2,0,0,0,2
"8910",1982,"Missouri","5","Alan Wheat","100",57.9,"
John A. Sharp ","200",40.2,0,0,0,2
"8911",1982,"Missouri","6","Earl Thomas Coleman","200",55.3,"
Jim Russell ","100",44.7,0,0,0,2
"8912",1982,"Missouri","7","Gene Taylor","200",50.5,"
David A. Geisler ","100",49.5,0,0,1,2
"8913",1982,"Missouri","8","Bill Emerson","200",53.1,"
Jerry Ford ","100",46.9,0,0,0,2
"8914",1982,"Missouri","9","Harold Volkmer","100",60.8,"
Larry E. Mead ","200",39.2,0,0,0,2
"8915",1986,"Missouri","1","Bill Clay","100",66.1,"
Robert J. Wittman ","200",33.9,0,0,0,2
"8916",1986,"Missouri","2","Jack Buechner","200",51.9,"
Robert A. Young ","100",48.1,0,0,0,2
"8917",1986,"Missouri","3","Dick Gephardt","100",69,"
Roy Amelung ","200",31,0,0,0,2
"8918",1986,"Missouri","4","Ike Skelton","100",NA,NA,NA,NA,1,0,NA,2
"8919",1986,"Missouri","5","Alan Wheat","100",70.9,"
Greg Fisher ","200",27.6,0,0,0,2
"8920",1986,"Missouri","6","Earl Thomas Coleman","200",56.7,"
Doug R. Hughes ","100",43.3,0,0,0,2
"8921",1986,"Missouri","7","Gene Taylor","200",67,"
Ken Young ","100",33,0,0,0,2
"8922",1986,"Missouri","8","Bill Emerson","200",52.5,"
Wayne Cryts ","100",47.5,0,0,0,2
"8923",1986,"Missouri","9","Harold Volkmer","100",57.5,"
Ralph Uthlaut Jr. ","200",42.5,0,0,0,2
"8924",1988,"Missouri","1","Bill Clay","100",71.6,"Joseph A. Schwan ","200",27,0,0,0,2
"8925",1988,"Missouri","2","Jack Buechner","200",66.3,"Robert H. Feigenbaum ","100",32.6,0,0,0,2
"8926",1988,"Missouri","3","Dick Gephardt","100",62.8,"Mark F. Hearne ","200",36.3,0,0,0,2
"8927",1988,"Missouri","4","Ike Skelton","100",71.8,"David Eyerly ","200",28.2,0,0,0,2
"8928",1988,"Missouri","5","Alan Wheat","100",70.3,"Mary Ellen Lobb ","200",28.5,0,0,0,2
"8929",1988,"Missouri","6","Earl Thomas Coleman","200",59.3,"Doug R. Hughes ","100",40.7,0,0,0,2
"8930",1988,"Missouri","7","Mel Hancock","200",53.1,"Max Bacon ","100",46.2,0,0,0,2
"8931",1988,"Missouri","8","Bill Emerson","200",58.1,"Wayne Cryts ","100",41.9,0,0,0,2
"8932",1988,"Missouri","9","Harold Volkmer","100",67.9,"Ken Dudley ","200",32.1,0,0,0,2
"8933",1990,"Missouri","1","Bill Clay","100",60.9,"
Wayne G. Piotrowski ","200",39.1,0,0,0,2
"8934",1990,"Missouri","2","Joan Kelly Horn","100",50.01,"
Jack Buechner ","200",49.99,0,0,1,2
"8935",1990,"Missouri","3","Dick Gephardt","100",56.8,"
Mack Holekamp ","200",43.2,0,0,0,2
"8936",1990,"Missouri","4","Ike Skelton","100",61.8,"
David Eyerly ","200",38.2,0,0,0,2
"8937",1990,"Missouri","5","Alan Wheat","100",62.1,"
Robert H. Gardner ","200",37.9,0,0,0,2
"8938",1990,"Missouri","6","Earl Thomas Coleman","200",51.9,"
Bobby D. McClure ","100",48.1,0,0,0,2
"8939",1990,"Missouri","7","Mel Hancock","200",52.1,"
Thomas Patrick Deaton ","200",47.9,0,0,0,2
"8940",1990,"Missouri","8","Bill Emerson","200",57.3,"
Russ Carnahan ","100",42.7,0,0,0,2
"8941",1990,"Missouri","9","Harold Volkmer","100",57.5,"
Don Curtis ","200",42.5,0,0,0,2
"8942",1996,"Missouri","1","William Lacy Clay","100",70.16,"Daniel O'Sullivan ","200",27.63,0,0,0,2
"8943",1996,"Missouri","2","James Talent","200",61.32,"Joan Kelly Horn ","100",37.08,0,0,0,2
"8944",1996,"Missouri","3","Richard A. ""Dick"" Gephardt","100",58.99,"Debbie Wheelehan ","200",38.75,0,0,0,2
"8945",1996,"Missouri","4","Ike Skelton","100",63.78,"Bill Phelps ","200",33.91,0,0,0,2
"8946",1996,"Missouri","5","Karen McCarthy","100",67.4,"Penny Bennett ","200",28.88,0,0,0,2
"8947",1996,"Missouri","6","Patsy Danner","100",68.62,"Jeff Bailey ","200",29.26,0,0,0,2
"8948",1996,"Missouri","7","Roy Blunt","200",64.87,"Ruth Bamberger ","100",31.65,0,0,0,2
"8949",1996,"Missouri","8","Jo Ann Emerson","Independent",50.47,"Emily Firebaugh ","100",37.28,0,0,0,2
"8950",1996,"Missouri","9","Kenny Hulshof","200",49.39,"Harold Volkmer ","100",47.03,0,0,0,2
"8951",1998,"Missouri","1","William Lacy Clay","100",72.6,"Richmond Soluade ","200",24.5,0,0,0,2
"8952",1998,"Missouri","3","Dick Gephardt","100",55.8,"Bill Federer ","200",1.3,0,0,0,2
"8953",1998,"Missouri","5","Karen McCarthy","100",65.9,"Penny Bennett ","200",1.7,0,0,0,2
"8954",1998,"Missouri","7","Roy Blunt","200",72.6,"Marc Perkel ","100",24.3,0,0,0,2
"8955",1998,"Missouri","8","Jo Ann Emerson","200",62.6,"Anthony Heckemeyer ","100",35.7,0,0,0,2
"8956",1998,"Missouri","9","Kenny Hulshof","200",62.2,"Linda Vogt ","100",35.5,0,0,0,2
"8957",2002,"Missouri","1","William Lacy Clay","100",70.11,"Richard Schwadron ","200",27.09,0,0,0,2
"8958",2002,"Missouri","3","Dick Gephardt","100",59.06,"Catherine Enz ","200",38.94,0,0,0,2
"8959",2002,"Missouri","4","Ike Skelton","100",67.64,"Jim Noland ","200",30.66,0,0,0,2
"8960",2002,"Missouri","5","Karen McCarthy","100",65.88,"Steve Gordon ","200",32.36,0,0,0,2
"8961",2002,"Missouri","6","Sam Graves","200",63.03,"Cathy Rinehart ","100",35.18,0,0,0,2
"8962",2002,"Missouri","7","Roy Blunt","200",74.81,"Ron Lapham ","100",23,0,0,0,2
"8963",2002,"Missouri","8","Jo Ann Emerson","200",71.76,"Gene Curtis ","100",26.91,0,0,0,2
"8964",2002,"Missouri","9","Kenny Hulshof","200",68.2,"Don Deichman ","100",28.55,0,0,0,2
"8965",2004,"Missouri","1","William Lacy Clay Jr.","100",75.3,"
Leslie L. Farr II ","200",22.8,0,0,0,2
"8966",2004,"Missouri","3","Russ Carnahan","100",52.9,"
Bill Federer ","200",45.1,0,0,0,2
"8967",2004,"Missouri","4","Ike Skelton","100",66.2,"
Jim Noland ","200",32.4,0,0,0,2
"8968",2004,"Missouri","5","Emanuel Cleaver","100",55.2,"
Jeanne Patterson ","200",42.1,0,0,0,2
"8969",2004,"Missouri","6","Sam Graves","200",63.8,"
Charles S. Broomfield ","100",34.8,0,0,0,2
"8970",2004,"Missouri","7","Roy Blunt","200",70.4,"
Jim Newberry ","100",28.3,0,0,0,2
"8971",2004,"Missouri","8","Jo Ann Emerson","200",72.2,"
Dean Henderson ","100",26.6,0,0,0,2
"8972",2004,"Missouri","9","Kenny Hulshof","200",64.6,"
Linda Jacobsen ","100",33.8,0,0,0,2
"8973",2006,"Missouri","1","Lacy Clay","100",72.9,"
Mark Byrne ","200",24.7,0,0,0,2
"8974",2006,"Missouri","3","Russ Carnahan","100",65.6,"
David Bertelsen ","200",31.7,0,0,0,2
"8975",2006,"Missouri","4","Ike Skelton","100",67.6,"
Jim Noland ","200",29.4,0,0,0,2
"8976",2006,"Missouri","5","Emanuel Cleaver","100",64.2,"
Jacob Turk ","200",32.3,0,0,0,2
"8977",2006,"Missouri","6","Sam Graves","200",61.6,"
Sara Jo Shettles ","100",35.7,0,0,0,2
"8978",2006,"Missouri","7","Roy Blunt","200",66.7,"
Jack Truman ","100",30.1,0,0,0,2
"8979",2006,"Missouri","8","Jo Ann Emerson","200",71.6,"
Veronica Hambacker ","100",26.4,0,0,0,2
"8980",2006,"Missouri","9","Kenny Hulshof","200",61.4,"
Duane Burghard ","100",35.9,0,0,0,2
"8981",2008,"Missouri","1","Lacy Clay","100",86.9,"
Robb Cunningham ","Libertarian",13.1,0,0,0,2
"8982",2008,"Missouri","3","Russ Carnahan","100",66.4,"
Chris Sander ","200",30.4,0,0,0,2
"8983",2008,"Missouri","4","Ike Skelton","100",65.9,"
Jeff Parnell ","200",34.1,0,0,0,2
"8984",2008,"Missouri","5","Emanuel Cleaver","100",64.4,"
Jacob Turk ","200",35.6,0,0,0,2
"8985",2008,"Missouri","6","Sam Graves","200",59.4,"
Kay Barnes ","100",36.9,0,0,0,2
"8986",2008,"Missouri","7","Roy Blunt","200",67.8,"
Richard Monroe ","100",28.1,0,0,0,2
"8987",2008,"Missouri","8","Jo Ann Emerson","200",71.4,"
Joe Allen ","100",26.2,0,0,0,2
"8988",2008,"Missouri","9","Blaine Luetkemeyer","200",50,"
Judy Baker ","100",47.5,0,0,0,2
"8989",2012,"Missouri","1","Lacy Clay","100",78.7,"Robyn Hamlin ","200",17.9,0,0,0,2
"8990",2012,"Missouri","2","Ann Wagner","200",60.1,"Glenn Koenen ","100",37.1,0,0,0,2
"8991",2012,"Missouri","3","Blaine Luetkemeyer","200",63.5,"Eric Mayer ","100",32.9,0,0,0,2
"8992",2012,"Missouri","4","Vicky Hartzler","200",60.3,"Teresa Hensley ","100",35.5,0,0,0,2
"8993",2012,"Missouri","5","Emanuel Cleaver","100",60.5,"Jacob Turk ","200",36.9,0,0,0,2
"8994",2012,"Missouri","6","Sam Graves","200",65,"Kyle Yarber ","100",32.5,0,0,0,2
"8995",2012,"Missouri","7","Billy Long","200",63.9,"Jim Evans ","100",30.9,0,0,0,2
"8996",2012,"Missouri","8","Jo Ann Emerson","200",71.9,"Jack Rushin ","100",24.6,0,0,0,2
"8997",2018,"Missouri","1","Lacy Clay","100",80.1,"
Robert Vroman ","200",16.7,0,0,0,2
"8998",2018,"Missouri","2","Ann Wagner","200",51.2,"
Cort VanOstran ","100",47.2,0,0,0,2
"8999",2018,"Missouri","3","Blaine Luetkemeyer","200",65.1,"
Katy Geppert ","100",32.8,0,0,0,2
"9000",2018,"Missouri","4","Vicky Hartzler","200",64.8,"
Renee Hoagenson ","100",32.7,0,0,0,2
"9001",2018,"Missouri","5","Emanuel Cleaver","100",61.7,"
Jacob Turk ","200",35.5,0,0,0,2
"9002",2018,"Missouri","6","Sam Graves","200",65.4,"
Henry Martin ","100",32,0,0,0,2
"9003",2018,"Missouri","7","Billy Long","200",66.2,"
Jamie Schoolcraft ","100",30.1,0,0,0,2
"9004",2018,"Missouri","8","Jason Smith","200",73.4,"
Kathy Ellis ","100",25,0,0,0,2
"9005",1920,"Mississippi","1","John E. Rankin","100",95.6,"Gaston Therrell ","200",4.4,0,0,0,2
"9006",1920,"Mississippi","2","Bill G. Lowrey","100",NA,NA,NA,NA,1,0,NA,2
"9007",1920,"Mississippi","3","Benjamin G. Humphreys II","100",NA,NA,NA,NA,1,0,NA,2
"9008",1920,"Mississippi","4","Thomas U. Sisson","100",93.8,"J. A. Washington ","Socialist",6.2,0,0,0,2
"9009",1920,"Mississippi","5","Ross A. Collins","100",94,"T. C. Brown ","200",3.7,0,0,0,2
"9010",1920,"Mississippi","6","Paul B. Johnson, Sr.","100",86.5,"L. B. Collins ","200",8.1,0,0,0,2
"9011",1920,"Mississippi","7","Percy E. Quin","100",92.7,"S. S. Matthews ","200",4.3,0,0,0,2
"9012",1920,"Mississippi","8","James W. Collier","100",95.4,"E. F. Miller ","Socialist",4.6,0,0,0,2
"9013",1922,"Mississippi","1","John E. Rankin","100",99.8,"
Gaston Therrell ","200",0.2,0,0,0,2
"9014",1922,"Mississippi","2","Bill G. Lowrey","100",94.7,"
William McDonough ","200",5.3,0,0,0,2
"9015",1922,"Mississippi","3","Benjamin G. Humphreys II","100",97,"
B. B. Montgomery ","200",3,0,0,0,2
"9016",1922,"Mississippi","4","Jeff Busby","100",98.2,"
R. H. DeKay ","200",1.8,0,0,0,2
"9017",1922,"Mississippi","5","Ross A. Collins","100",96.3,"
Sherry B. Smith ","200",3.3,0,0,0,2
"9018",1922,"Mississippi","6","T. Webber Wilson","100",98.2,"
John G. McGowan ","200",1.8,0,0,0,2
"9019",1922,"Mississippi","7","Percy E. Quin","100",97.4,"
H. C. Turley ","200",2.6,0,0,0,2
"9020",1922,"Mississippi","8","James W. Collier","100",99,"
W. L. Rice ","Socialist Labor",1,0,0,0,2
"9021",1924,"Mississippi","1","John E. Rankin","100",NA,NA,NA,NA,1,0,NA,2
"9022",1924,"Mississippi","2","Bill G. Lowrey","100",NA,NA,NA,NA,1,0,NA,2
"9023",1924,"Mississippi","3","William Madison Whittington","100",NA,NA,NA,NA,1,0,NA,2
"9024",1924,"Mississippi","4","Jeff Busby","100",95.7,"R. H. DeKay ","200",4.3,0,0,0,2
"9025",1924,"Mississippi","5","Ross A. Collins","100",NA,NA,NA,NA,1,0,NA,2
"9026",1924,"Mississippi","6","T. Webber Wilson","100",NA,NA,NA,NA,1,0,NA,2
"9027",1924,"Mississippi","7","Percy E. Quin","100",NA,NA,NA,NA,1,0,NA,2
"9028",1924,"Mississippi","8","James W. Collier","100",NA,NA,NA,NA,1,0,NA,2
"9029",1926,"Mississippi","1","John E. Rankin","100",NA,NA,NA,NA,1,0,NA,2
"9030",1926,"Mississippi","2","Bill G. Lowrey","100",NA,NA,NA,NA,1,0,NA,2
"9031",1926,"Mississippi","3","William Madison Whittington","100",NA,NA,NA,NA,1,0,NA,2
"9032",1926,"Mississippi","4","Jeff Busby","100",NA,NA,NA,NA,1,0,NA,2
"9033",1926,"Mississippi","5","Ross A. Collins","100",NA,NA,NA,NA,1,0,NA,2
"9034",1926,"Mississippi","6","T. Webber Wilson","100",NA,NA,NA,NA,1,0,NA,2
"9035",1926,"Mississippi","7","Percy E. Quin","100",NA,NA,NA,NA,1,0,NA,2
"9036",1926,"Mississippi","8","James W. Collier","100",NA,NA,NA,NA,1,0,NA,2
"9037",1928,"Mississippi","1","John E. Rankin","100",NA,NA,NA,NA,1,0,NA,2
